Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Gran Torello Brut Nature 16-|2016|Cava|Macabeo|79€|Nariz: limão, ervas. Boca: seco puro. Brut Nature top. Beba agora-2028.|WA: 91 | Peñín: 90
Juve Camps Milesime 20-|2019|Cava|Macabeo|70€|Nariz: maçã, limão, mineral. Boca: seco cremoso. Milesime top. Beba agora-2030.|WA: 92 | Peñín: 91
Mestres Clos Damiana 13-|2013|Cava|Macabeo|125€|Nariz: maçã madura, brioche. Boca: cremoso complexo. Clos Damiana top. Beba agora-2035.|WA: 93 | Peñín: 92
Mestres Coquet BN G Rva 19-|2019|Cava|Macabeo|34€|Nariz: limão, ervas. Boca: seco puro. Coquet top. Beba agora-2028.|WA: 91 | Peñín: 90
Mestres Coquet BN G Rva 20 BL-|2020|Cava|Macabeo|39€|Nariz: maçã, limão. Boca: seco fresco. Top. Beba agora-2028.|WA: 90 | Peñín: 89
Mestres Mas Via 08-|2008|Cava|Macabeo|132€|Nariz: maçã madura, brioche. Boca: cremoso longo. Mas Via top. Beba agora-2030.|WA: 93 | Peñín: 92
Mestres Visol 19-|2019|Cava|Xarel·lo|45€|Nariz: limão, ervas. Boca: seco tenso. Visol top. Beba agora-2028.|WA: 91 | Peñín: 90
Raventos i Blanc De la Finca 21-|2021|Conca del Riu Anoia|Macabeo|44€|Nariz: maçã, limão, mineral. Boca: seco puro. De la Finca top. Beba agora-2028.|WA: 92 | Peñín: 91
Raventos i Blanc Textures de Pedra 19-|2019|Conca del Riu Anoia|Macabeo|74€|Nariz: limão, ervas, mineral. Boca: seco tenso. Textures top. Beba agora-2030.|WA: 93 | Peñín: 92
Raventos Mas Del Serral 07-|2007|Cava|Macabeo|262€|Nariz: maçã madura, brioche. Boca: cremoso complexo. Mas Del Serral top. Beba agora.|WA: 94 | Peñín: 93
Recaredo Intens Rosat BN G Rva 20-|2020|Cava|Macabeo|80€|Nariz: morango, limão. Boca: seco cremoso. Rosat top. Beba agora-2030.|WA: 92 | Peñín: 91
